questionid,category,round,question,solution,explanation,type,action
1,Subject Verb Agreement,3,The sources unanimously indicates that phone addiction is detrimental to health.,The sources unanimously indicate that phone addiction is detrimental to health.,"""sources"" takes the plural form of the verb.",C,replace
1,Subject Verb Agreement,4,Almost 20% of employees is looking for a new job while holding a full-time professional job.,Almost 20% of employees are looking for a new job while holding a full-time professional job.,"""employees"" takes the plural form of the verb.",C,replace
1,Verb Form,1,"It is forecasted that AR users will increase by another 35% over the next 5 years and millennials play a large part in that (Madigan, 2016).","It is forecasted that AR users will increase by another 35% over the next 5 years and millennials will play a large part in that (Madigan, 2016).",Simple future tense,C,insert
1,Verb Form,1,This will incentivize them to be bold in their innovations and not afraid to try them out.,This will incentivize them to be bold in their innovations and not be afraid to try them out.,"Use parallel structures to emphasize the connection between ideas. When structures are parallel, they are connected by a coordinate conjunction (e.g. ""and"", ""or"") and are grammatically the same (in this case, ""to be bold in their innovations"" and ""(to) not be afraid to try them out"".",SP,insert
1,Verb Form,2,Statistics play an important role in improve the persuasiveness of an article.,Statistics play an important role in improving the persuasiveness of an article.,Play an important role in doing something,C,replace
1,Verb Form,3,"National Sleep Foundation (n.d. as cited in Chan, 2013) has discover that one in three people suffer from mild insomnia.","National Sleep Foundation (n.d. as cited in Chan, 2013) has discovered that one in three people suffer from mild insomnia.","In a present perfect tense, the verb has is followed by a past participle discovered.",C,replace
1,Verb Form,4,Consultations are to be done in private to prevent eavesdrop.,Consultations are to be done in private to prevent eavesdropping.,"Here, eavesdrop' (verb) is functioning as a noun, so you use a gerund (verb + ing) to form 'eavesdropping'.",C,replace
1,Word Form,0,Excessive dieting and exercising can have a negative impacts on people.,Excessive dieting and exercising can have a negative impact on people.,"""Dieting and exercising"" are being treated as a single act, so impact should be singular.",Test,replace
1,Word Form,1,Both trends provide consumers with enjoyable entertainments through interactive media platforms.,Both trends provide consumers with enjoyable entertainment through interactive media platforms.,"""Entertainment"" is an uncountable noun, so it does not have a plural form.",C,replace
1,Word Form,1,Many fast-fashion retailers have included pyjama-liked garments in their collections.,Many fast-fashion retailers have included pyjama-like garments in their collections.,"To show similarity, -like can be added to nouns, not ""-liked"".",SP,replace
1,Word Form,2,The rising incidences of stroke among young people is an issue of concern.,The rising incidence of stroke among young people is an issue of concern.,"""Incidence"" is an uncountable noun, so it has no plural form.",C,replace
1,Word Form,3,Magnetic masks received overwhelmingly positive feedbacks from users.,Magnetic masks received overwhelmingly positive feedback from users.,"""Feedback"" is an uncountable noun, so it has no plural form.",C,replace
1,Word Form,4,Most young people are ignorant of how dangerous counterfeit makeup is on skins.,Most young people are ignorant of how dangerous counterfeit makeup is on skin.,"""Skin"" is an uncountable noun, so it does not have a plural form.",C,replace
2,Articles,1,The aim of creating unique logo and a tagline for AHL is to establish a consistent brand image while effectively communicating what AHL does.,The aim of creating a unique logo and a tagline for AHL is to establish a consistent brand image while effectively communicating what AHL does.,Article required,C,insert
2,Articles,1,Fast food prices have decreased as majority of fast food chains now use automated machines.,Fast food prices have decreased as the majority of fast food chains now use automated machines.,"Specific words or superlative forms e.g. the largest, the highest, the tallest need ""the"" in front of them.",SP,insert
2,Articles,2,One risk could be low participation rate from students.,One risk could be a low participation rate from students.,Article required,C,insert
2,Articles,3,"With the rise and ubiquity of social media, there is a rising pressure to conform to global beauty standards and norms.","With the rise and ubiquity of social media, there is rising pressure to conform to global beauty standards and norms.",No article required,C,remove
2,Articles,4,"Based on a research by the National Registry of Diseases Office, nearly half a million Singaporean adults had diabetes in 2014 and this is forecasted to reach a million by 2050.","Based on research by the National Registry of Diseases Office, nearly half a million Singaporean adults had diabetes in 2014 and this is forecasted to reach a million by 2050.",No article required,C,remove
2,Preposition,1,More millennials are likely to engage sports as a form of entertainment.,More millennials are likely to engage in sports as a form of entertainment.,Verb engage requires engage in as the preposition following it.,C,insert
2,Preposition,1,"There will also be an option anyone to ""share"" the submissions on social media platforms such as Facebook and Twitter.","There will also be an option for anyone to ""share"" the submissions on social media platforms such as Facebook and Twitter.","The preposition relates to the object: it is ""an option to do sthg"" but it is ""an option for someone"".",SP,insert
2,Preposition,2,"I have researched on possible upcoming trends, and shortlisted two on the topic of health, based on their relevance to young adults.","I have researched possible upcoming trends, and shortlisted two on the topic of health, based on their relevance to young adults.",No preposition required after the verb research,C,remove
2,Preposition,3,"All in all, both articles articulated their views of millennials in different perspectives.","All in all, both articles articulated their views of millennials from different perspectives.",From this perspective; from that perspective,C,replace
2,Preposition,4,"Instagram is more suited for businesses who are trying to reach a younger demographic (Nwazor, 2016).","Instagram is more suited to businesses who are trying to reach a younger demographic (Nwazor, 2016).",suited to something' but 'suitable for something',C,replace
2,Punctuation,1,Considering how harmful self-diagnosing is it is imperative that our readers understand the severity of this trend.,"Considering how harmful self-diagnosing is, it is imperative that our readers understand the severity of this trend.",comma needed,C,insert
2,Punctuation,1,The Arts House Limited offers only 31 programmes across all its offerings (AHL 2017).,"The Arts House Limited offers only 31 programmes across all its offerings (AHL, 2017).","Within the brackets of the in-text citation, put a comma between the name and the year",SP,insert
2,Punctuation,2,"To kick start the operations, we must first secure retail space and government permits.","To kick-start the operations, we must first secure retail space and government permits.",needs a hyphen,C,insert
2,Punctuation,3,"Using a mask that is laden with iron particles, promises deeper cleansing power.",Using a mask that is laden with iron particles promises deeper cleansing power.,Comma is not needed,C,remove
2,Punctuation,4,"Sales for games and puzzles has been increasing from 2013, Thus we can infer that this is a rising trend.",Sales for games and puzzles has been increasing from 2013. Thus we can infer that this is a rising trend.,"""Thus"" cannot join two independent clauses.",C,replace
2,Subject Verb Agreement,1,Accessibility to customisable products have changed the way girls define beauty.,Accessibility to customisable products has changed the way girls define beauty.,"""Accessibility"" takes the singular form of the verb.",C,replace
2,Subject Verb Agreement,1,"They sing pop songs that generally promotes communism in China (Schmitz, 2017).","They sing pop songs that generally promote communism in China (Schmitz, 2017).","""songs"" takes the plural form of the verb.",SP,replace
2,Subject Verb Agreement,2,"Young people are adopting healthier eating habits, which helps reap many benefits.","Young people are adopting healthier eating habits, which help reap many benefits.","""habits"" takes the plural form of the verb.",C,replace
2,Subject Verb Agreement,3,"Even as viewership soar for new competitors like Netflix, Toggle is still able to grow.","Even as viewership soars for new competitors like Netflix, Toggle is still able to grow.","""viewership"" takes the singular form of the verb.",C,replace
2,Subject Verb Agreement,4,These sources prove that social media sites like Facebook helps with online marketing.,These sources prove that social media sites like Facebook help with online marketing.,"""social media sites"" takes the plural form of the verb.",C,replace
2,Verb Form,1,"Hence, reducing stress and having a healthy lifestyle become essential in young people's busy lives.","Hence, reducing stress and having a healthy lifestyle has become essential in young people's busy lives.",Present perfect tense works best here because both reducing stress and having a healthy lifestyle are not one-off events.,C,insert
2,Verb Form,1,"79% of students showed an interest in entrepreneurship, or given it a thought.","79% of students showed an interest in entrepreneurship, or had given it a thought.","Using the past participle (""had given"" in this case) shows the sequence in which these two actions took place in the past.  It distinguishes the two actions - ""had given it a thought"" and ""showed an interest"" - in the past, showing that the act of thinking took place before the interest was shown. The answer suggests that first the students thought about entrepreneurship. Then they showed an interest. However, the answer here is contextually-dependent: what was written previously and what did the author want to convey? If the author had intended to convey the idea of students showing an interest in entrepreneurship and thinking about it at the same time, the correct answer would be ""79% of students showed an interest in entrepreneurship, or gave it a thought.""",SP,insert
2,Verb Form,2,"Most notably, the issue of diabetes is brought up in the national day rally speech by PM Lee Hsien Loong this year (PMO, 2017).","Most notably, the issue of diabetes was brought up in the national day rally speech by PM Lee Hsien Loong this year (PMO, 2017).",Simple past tense,C,replace
2,Verb Form,3,They have no prior experience handle such equipment.,They have no prior experience handling such equipment.,"The word handle functions as a noun, so a gerund (verb + ing) is used --handling.",C,replace
2,Verb Form,4,"As young adults assimilate into an increasingly fast-paced world, wearable technology is going to be one of the biggest trends as it can enhancing one's health and productivity.","As young adults assimilate into an increasingly fast-paced world, wearable technology is going to be one of the biggest trends as it can enhance one's health and productivity.","When using a modal, the verb that follows should be in the base form 'enhance' instead of 'enhancing'.",C,replace
2,Word Form,0,The researches could not arrive at a unanimous conclusion.,The researchers could not arrive at a unanimous conclusion.,Researcher (person) - can take plural form. Research (work) - no plural form,Test,replace
2,Word Form,1,The career centre gives students relevant informations to help them start their businesses.,The career centre gives students relevant information to help them start their businesses.,"""Information"" is an uncountable noun, so it has no plural form.",C,replace
2,Word Form,1,Posters along the corridors in the basement can attract the attention of passer-bys.,Posters along the corridors in the basement can attract the attention of passers-by.,"The plural form is added to the noun ""passers"", not the preposition ""by"".",SP,replace
2,Word Form,2,Undergraduates need more exposures to entrepreneurial activities.,Undergraduates need more exposure to entrepreneurial activities.,"""Exposure"" is an uncountable noun, so it has no plural form.",C,replace
2,Word Form,3,The heavy workloads leads to a build up of stress and anxiety among students.,The heavy workload leads to a build up of stress and anxiety among students.,"""Workload"" is an uncountable noun, so it has no plural form.",C,replace
2,Word Form,4,The number of people undergoing cosmetic surgery in the pursue of beauty is on the rise.,The number of people undergoing cosmetic surgery in the pursuit of beauty is on the rise.,"""Pursue"" is a verb; ""pursuit"" is a noun.",C,replace
3,Articles,1,"Viewers need to pay monthly subscription to access premium content on Toggle (Toggle, n.d.).","Viewers need to pay a monthly subscription to access premium content on Toggle (Toggle, n.d.).",Article required,C,insert
3,Articles,1,Having internet connection and a smartphone are all that is required to access the application.,Having an internet connection and a smartphone are all that is required to access the application.,"Both the original and the amended sentence are correct, depending on context. If we mean a specific physical internet connection, we will put ""a"" in front of ""internet connection"". Otherwise, ""internet connection"" without an article suggests the generic idea of wifi.",SP,insert
3,Articles,2,"Recent findings show that, compared to previous generations, millennials have increased level of stress that can lead to anxiety, depression and insomnia (Den Meditation, 2016; Keating,2016).","Recent findings show that, compared to previous generations, millennials have an increased level of stress that can lead to anxiety, depression and insomnia (Den Meditation, 2016; Keating, 2016).",Article required,C,insert
3,Articles,3,"As we are experiencing the rapid technological advancement, more and more consumers are becoming tech-savvy.","As we are experiencing rapid technological advancement, more and more consumers are becoming tech-savvy.",No article required,C,remove
3,Articles,4,"All in all, both trends are a warning to the young adults to maintain a healthy lifestyle.","All in all, both trends are a warning to young adults to maintain a healthy lifestyle.",No article required,C,remove
3,Preposition,1,"These trends provide AHL the opportunity to establish itself as a brand that not only manages venues for arts programs and festivals, but also one that uses art to provide therapeutic services.","These trends provide AHL with the opportunity to establish itself as a brand that not only manages venues for arts programs and festivals, but also one that uses art to provide therapeutic services.",Provide someone with something,C,insert
3,Preposition,1,"I recommend that we feature 'Unhealthy Dieting' in the next issue of our magazine, as it has a greater impact the lifestyle of our readers.","I recommend that we feature 'Unhealthy Dieting' in the next issue of our magazine, as it has a greater impact on the lifestyle of our readers.","When you use ""impact"" as a noun, there needs to be an accompanying preposition. In this case, it is ""impact on someone or something"". However, if you use ""impact"" as a verb, it has no accompanying preposition.",SP,insert
3,Preposition,2,Millennials are likely to watch a programme that has been reviewed on by an influencer.,Millennials are likely to watch a programme that has been reviewed by an influencer.,No preposition required after the verb review,C,remove
3,Preposition,3,"In addition, the convenience of telehealth would encourage millennials to frequently keep track on their health.","In addition, the convenience of telehealth would encourage millennials to frequently keep track of their health.",Keep track of someone or something,C,replace
3,Preposition,4,They have a habit on snacking when they are feeling bored.,They have a habit of snacking when they are feeling bored.,Have a habit of doing something,C,replace
3,Punctuation,1,It is not easy to customize the online content to suit consumers interests.,It is not easy to customize the online content to suit consumers' interests.,"For the possessive of a plural noun, add the apostrophe after the plural -s",C,insert
3,Punctuation,1,In doing so more people will be able to compare prices across the three service providers.,"In doing so, more people will be able to compare prices across the three service providers.","You need a comma after the transition phrase ""in doing so"".",SP,insert
3,Punctuation,2,"According to the 2015 Global Health and Wellness Survey conducted by Nielson, consumer's are willing to pay more for products that claim to boost health (Gagliardi, 2015).","According to the 2015 Global Health and Wellness Survey conducted by Nielson, consumers are willing to pay more for products that claim to boost health (Gagliardi, 2015).",Remove the possessive form (consumer's) and add a plural form (consumers),C,remove
3,Punctuation,3,"The contest information will be advertised online, as the contest details are quite lengthy.",The contest information will be advertised online as the contest details are quite lengthy.,Comma is not needed,C,remove
3,Punctuation,4,"Smartphone industry leader Apple has recently integrated AR into its latest smartphones (Stein, 2017), Other manufacturers may soon follow suit.","Smartphone industry leader Apple has recently integrated AR into its latest smartphones (Stein, 2017). Other manufacturers may soon follow suit.",Run-on sentence that needs a full stop,C,replace
3,Subject Verb Agreement,1,Fromm's authority and his use of convincing evidence makes for a more persuasive read than Asher's.,Fromm's authority and his use of convincing evidence make for a more persuasive read than Asher's.,"""authority and...evidence"" takes the plural form of the verb.",C,replace
3,Subject Verb Agreement,1,The models' significant influence on youths are reflected by the millions of followers on their Instagram accounts.,The models' significant influence on youths is reflected by the millions of followers on their Instagram accounts.,"""influence"" takes the singular form of the verb.",SP,replace
3,Subject Verb Agreement,2,Plant-based meat options fills a gap as they taste like real animal meat.,Plant-based meat options fill a gap as they taste like real animal meat.,"""meat options"" takes the plural form of the verb.",C,replace
3,Subject Verb Agreement,3,This emotional connection and motivation persists even after the game has ended.,This emotional connection and motivation persist even after the game has ended.,"""connection and motivation"" take the plural form of the verb.",C,replace
3,Subject Verb Agreement,4,"Using vanity applications to create virtual makeovers is the biggest ""in"" thing today.","Using vanity applications to create virtual makeovers are the biggest ""in"" thing today.","""applications"" takes the plural form of the verb.",C,replace
3,Verb Form,1,"Over the years, online bidding on social media turned out to be successful due to the unique combination of social media and e-commerce (Chen, 2017; Bourque, 2015).","Over the years, online bidding on social media has turned out to be successful due to the unique combination of social media and e-commerce (Chen, 2017; Bourque, 2015).","In expressing past time as a duration rather than single event, present perfect tense is correct.",C,insert
3,Verb Form,1,"One solution could be use artificial vegetation, which also eliminates the risks of plants dying in an underground environment.","One solution could be to use artificial vegetation, which also eliminates the risks of plants dying in an underground environment.","You need to use the infinitive form (to use, in this example) when the phrase (to use artificial vegetation) is the object or complements the main verb (which is ""be"" in this case). This means that your sentence is actually saying that ""one solution could be to do something"". The student has possibly made the mistake of thinking that this sentence follows the ""one solution could be hypnosis"" where what follows the main verb (""be"") is just a noun (the name of an object or thing).",SP,insert
3,Verb Form,2,"For example, mobile applications like Snapchat and Pokemon Go have integrate AR technology which has turned out to be a great success (LeMieux, 2016).","For example, mobile applications like Snapchat and Pokemon Go have integrate AR technology which turned out to be a great success (LeMieux, 2016).",Present perfect tense requires the main verb to be in the past form to show a completed event.,C,remove
3,Verb Form,3,Neuroon Open is a sleep tracker mask that measures your brainwaves and testing your sleep.,Neuroon Open is a sleep tracker mask that measures your brainwaves and tests your sleep.,Parellelism - the verb testing should be parallelled to the earlier verb 'measures',C,replace
3,Verb Form,4,I recommend that Nintendo Switch is featured in the next issue of the magazine because most families owned a television.,I recommend that Nintendo Switch is featured in the next issue of the magazine because most families own a television.,Present simple tense,C,replace
3,Word Form,0,This multi-faceted approach to eating right helps people take care of their diabetes loved ones.,This multi-faceted approach to eating right helps people take care of their diabetic loved ones.,"Diabetes - disease, Diabetic - person who has diabetes",Test,replace
3,Word Form,1,Two criterias were used to select the trends.,Two criteria were used to select the trends.,"""Criteria"" is the plural form of ""criterion"".",C,replace
3,Word Form,1,The remunerations for ambassadors will be based on market rates.,The remuneration for ambassadors will be based on market rates.,"""Renumeration"" is an uncountable noun, so it does not have a plural form.",SP,replace
3,Word Form,2,The advices on healthy eating is usually not taken seriously by the youth.,The advice on healthy eating is usually not taken seriously by the youth.,"""Advice"" is an uncountable noun, so it has no plural form.",C,replace
3,Word Form,3,"Mobile health applications have been developed to act as personal trainers by counting calorie consumptions (Burrus, 2015).","Mobile health applications have been developed to act as personal trainers by counting calorie consumption (Burrus, 2015).","""Consumption"" is an uncountable noun, so it has no plural form.",C,replace
3,Word Form,4,The application will make students' lives more convenience.,The application will make students' lives more convenient.,"In this instance, a noun is required, not an adjective.",C,replace
4,Articles,1,Another significant trend in Singapore is the constant rise in number of diabetic patients.,Another significant trend in Singapore is the constant rise in the number of diabetic patients.,Article required,C,insert
4,Articles,1,"During lull periods, the space along basement could be better utilized.","During lull periods, the space along the basement could be better utilized.","The specific article ""the"" is needed in front of adverbials of place (along the basement) which give the reader a sense of a specific location.",SP,insert
4,Articles,2,"Slime videos are extremely popular and have experienced sharp increase in online searches, according to Google Trends.","Slime videos are extremely popular and have experienced a sharp increase in online searches, according to Google Trends.",Article required,C,insert
4,Articles,3,Both trends provide consumers with an enjoyable and engaging entertainment through interactive media platforms.,Both trends provide consumers with enjoyable and engaging entertainment through interactive media platforms.,No article required,C,remove
4,Articles,4,A Research by ABI Research (2017) forecasted that wearable device revenue will increase by 41% over the next five years.,Research by ABI Research (2017) forecasted that wearable device revenue will increase by 41% over the next five years.,No article required,C,remove
4,Preposition,1,"While both these trends impact our readers, I would recommend featuring the rise of plastic surgery among young adults as they may lack the awareness of the risks involved.","While both of these trends impact our readers, I would recommend featuring the rise of plastic surgery among young adults as they may lack the awareness of the risks involved.",Both of these trends: more formal .,C,insert
4,Preposition,1,The main reason for choosing these trends is the recent increase in young adults entering at the online market.,The main reason for choosing these trends is the recent increase in young adults entering the online market.,"""Enter"" means ""to go in"". Therefore, there is no longer a preposition required in this case.",SP,remove
4,Preposition,2,Millennials are increasingly demanding for work-life balance.,Millennials are increasingly demanding work-life balance.,No preposition required after the verb demand,C,remove
4,Preposition,3,The issue with Arts House Limited's marketing lies on its lack of coherence.,The issue with Arts House Limited's marketing lies in its lack of coherence.,Incorrect preposition: lies with,C,replace
4,Preposition,4,People are transitioning of regular digital cameras to drones for capturing memories.,People are transitioning from regular digital cameras to drones for capturing memories.,Transitioning to,C,replace
4,Punctuation,1,The course will start with each student giving a one minute speech.,The course will start with each student giving a one-minute speech.,hyphenate 'one-minute' because both words modify the noun 'speech',C,insert
4,Punctuation,1,"MyBox uses a similar retail concept that qualifies the company for the upgrade, (Lee, 2015).","MyBox uses a similar retail concept that qualifies the company for the upgrade (Lee, 2015).",Punctuation is not required before the in-text citation brackets.,SP,remove
4,Punctuation,2,"This solution emphasises the company mission, to be the preferred venue for arts programmes.",This solution emphasises the company mission to be the preferred venue for arts programmes.,Comma is not needed,C,remove
4,Punctuation,3,Millennial's' expectations are not always easy for employers to understand.,Millennials' expectations are not always easy for employers to understand.,Remove apostrophe before s,C,remove
4,Punctuation,4,"VR concert fever is expected to continue for years, Thus its future is promising.",VR concert fever is expected to continue for years. Thus its future is promising.,"""Thus"" cannot join two independent clauses.",C,replace
4,Subject Verb Agreement,1,Physical activity drop as one becomes older due to lack of time for play.,Physical activity drops as one becomes older due to lack of time for play.,"""Physical activity"" takes the singular form of the verb.",C,replace
4,Subject Verb Agreement,1,More than half the respondents (54%) watched online videos and 89% of them is aged between 15 to 34.,More than half the respondents (54%) watched online videos and 89% of them are aged between 15 to 34.,"""89% of them"" takes the plural form ""are"". Fractions and percentages take a singular verb with a non-count noun, and a plural verb with plural count nouns.",SP,replace
4,Subject Verb Agreement,2,"Fromm (2015) supports his argument using a survey from TriNet, a company that specialise in providing human resource solutions.","Fromm (2015) supports his argument using a survey from TriNet, a company that specialises in providing human resource solutions.","""company"" takes the singular form of the verb.",C,replace
4,Subject Verb Agreement,3,It is recommended that AHL adopts the proposed strategy.,It is recommended that AHL adopt the proposed strategy.,"The subjunctive is a specific verb form. In this sentence, ""adopt"" should be used here as part of the that-clause.",C,replace
4,Subject Verb Agreement,4,Asher lacks the credibility and authority that Fromm possess as she does not have the extensive background that Fromm has.,Asher lacks the credibility and authority that Fromm possesses as she does not have the extensive background that Fromm has.,"The singular verb is tied to ""Fromm"" and not to ""credibility and authority"".",C,replace
4,Verb Form,1,"Eating disorders also seem to be increasing sustainably; Singapore's KK Hospital, has an average annual increase of 10% in eating-disorder sufferers since 2008.","Eating disorders also seem to be increasing sustainably; Singapore's KK Hospital, has had an average annual increase of 10% in eating-disorder sufferers since 2008.",Time here is in the form of duration--not a single point in time and therefore requires a perfect tense. Present perfect expresses duration for an ongoing event,C,insert
4,Verb Form,1,The two trends would accelerate consumption and thus worsening the issue.,The two trends would accelerate consumption and thus worsen the issue.,"Use parallel structures to emphasize the connection between ideas. When structures are parallel, they are connected by a coordinate conjunction (e.g. ""and"", ""or"") and are grammatically the same (in this case, ""would accelerate consumption"" and ""(would) worsen the issue"".",SP,replace
4,Verb Form,2,Lilly Singh sells bracelets made by Kenyan mothers to raise funds in September 2016.,Lilly Singh sold bracelets made by Kenyan mothers to raise funds in September 2016.,Simple past tense,C,replace
4,Verb Form,3,"According to Cheah (2017) and Nardoci (2012), there have been a steady growth of young adults undergoing plastic surgery to achieve their ideal look.","According to Cheah (2017) and Nardoci (2012), there has been a steady growth of young adults undergoing plastic surgery to achieve their ideal look.","Present perfect tense. The subject is 'growth' which is singular, so 'has been' is used instead of 'have been'.",C,replace
4,Verb Form,4,Another trend we should explore be digital detoxing among young adults.,Another trend we should explore is digital detoxing among young adults.,Present simple tense,C,replace
4,Word Form,0,A post-event survey will be conducted to obtain students' feedbacks.,A post-event survey will be conducted to obtain students' feedback.,Feedback' has no plural,Test,replace
4,Word Form,1,Researches shows that beauty trends are keenly watched by women.,Research shows that beauty trends are keenly watched by women.,"""Research"" is an uncountable noun, so it has no plural form.",C,replace
4,Word Form,1,Even though the Fragment Room is a new starts-up its customer base is growing.,Even though the Fragment Room is a new start-up its customer base is growing.,"""start-up"" is a noun and a singular form is required after ""is"" (verb) and ""a"" (article). The plural form is ""start-ups"", where the ""s"" is in ""ups"" not ""starts"".",SP,replace
4,Word Form,2,"Since the room is enclosed by sound-proof glasses, the noise will not disturb the other students.","Since the room is enclosed by sound-proof glass, the noise will not disturb the other students.","The material, ""glass"", is an uncountable noun, so it has no plural form. ""Glasses"", on the other hand, could mean (1) spectacles or (2) the plural of glass water receptacles.",C,replace
4,Word Form,3,"Instagram is suited to businesses that are trying to reach a younger demographics (Nwazor, 2016).","Instagram is suited to businesses that are trying to reach a younger demographic (Nwazor, 2016).","A singular noun is required when you introduce it with an article ""a younger"".",C,replace
4,Word Form,4,"According to statistics, there is an uprising trend of people eating organic foods.","According to statistics, there is an rising trend of people eating organic foods.","""An Uprising"" is a noun that means rebellion. The correct use of the word is a ""rising"" trend.",C,replace
5,Articles,1,It would help to increase Toggle's visibility to broader audience of consumers.,It would help to increase Toggle's visibility to a broader audience of consumers.,Article required,C,insert
5,Articles,1,"According to National Arts Council (n.d.), attendance at the Arts Festival over the last decade has been increasing.","According to the National Arts Council (n.d.), attendance at the Arts Festival over the last decade has been increasing.","The specific article ""the"" is needed in front of names which contain a common noun (in this case, ""council"") to specify which council we are referring to.",SP,insert
5,Articles,2,"One example of this kind of service is Spotify, music-streaming service.","One example of this kind of service is Spotify, a music-streaming service.",Article required,C,insert
5,Articles,3,"The budget would be a $10,000 for one week.","The budget would be $10,000 for one week.",No article required,C,remove
5,Articles,4,"Acai is a superfood with ""anti-aging and weight loss properties"" (WebMD, 2016); hence, we envision to achieve a better social wellbeing amongst SMU students and staff.","Acai is a superfood with ""anti-aging and weight loss properties"" (WebMD, 2016); hence, we envision to achieve better social wellbeing amongst SMU students and staff.",No article required,C,remove
5,Preposition,1,"Therefore, it is vital for Mediacorp grow the pool of Toggle brand ambassadors as part of its long-term plan.","Therefore, it is vital for Mediacorp to grow the pool of Toggle brand ambassadors as part of its long-term plan.",It's vital for someone to do something; it's vital someone does something.,C,insert
5,Preposition,1,"Millennials account to 34% of the Singapore population, and are becoming the largest and most diverse generation.","Millennials account for 34% of the Singapore population, and are becoming the largest and most diverse generation.","""Account for"" means ""makes up"" in this case or ""explain responsibly"" when used in a sentence such as ""you need to account for your actions"" or ""succeed in killing/destroying/defeating"" when used in a sentence such as ""small pox accounted for 2 million deaths"". ""Accountable to"" means ""responsible for explaining something to someone"". You could also be ""accountable for"" your actions when you have to explain or justify them.",SP,replace
5,Preposition,2,This can help them better accommodate to the needs of their elderly parents.,This can help them better accommodate the needs of their elderly parents.,No preposition required after the verb accomodate. A common mistake is to assume that accommodate is the same as adapt to.,C,remove
5,Preposition,3,"Readers with a family history of diabetes would be urged to perform an early health check-up, knowing that they are of a higher risk than others.","Readers with a family history of diabetes would be urged to perform an early health check-up, knowing that they are at a higher risk than others.",At risk; at a high risk of doing something.,C,replace
